,year,school,id,rev,exp,enroll,cost,rate,SAT
0,2013,Michigan,170976,22207,23234,28077,16287,0.3326,1352
1,2013,UNC,199120,13823,26718,17882,13322,0.2759,1313
2,2013,Vanderbilt,221999,23480,80096,6794,17340,0.1274,1475
3,2013,Cornell,190415,26069,24604,14309,26484,0.1556,1422
4,2013,Berkeley,110635,18432,21934,25951,13769,0.18,1350
5,2013,Alabama,100751,13373,10312,28692,21513,0.5655,1171
6,2013,KState,155399,10460,11551,19647,15852,0.9591,
7,2013,Towson,164076,6756,6449,18534,16133,0.6034,1078
8,2013,Montclair,185590,9054,9289,15182,19960,0.6532,970
9,2013,Wright,206604,10119,9585,12161,16093,,
10,2013,JamesM,232423,9327,8822,18127,17924,0.6356,1149
11,2013,Purdue,243780,15953,15821,30167,15543,0.6042,1211
12,2013,Sienna,195474,15218,10432,3102,27070,0.6805,1122
13,2013,Lehigh,213543,27066,21309,4904,29418,0.3084,1322
14,2013,Allegheny,210669,19623,13830,2126,25147,0.6487,1182
15,2013,GTech,139755,13501,14084,13975,11053,0.5493,1352
16,2013,SConn,130493,8927,12397,8257,14750,0.7542,921
17,2013,CaseW,201645,23564,30814,4551,25341,0.4188,1377
18,2013,Vassar,197133,27290,29685,2436,20386,0.2411,1394
19,2013,VTech,233921,12914,11792,23928,19993,0.7028,1220
20,2013,WMary,231624,18720,13943,6235,16909,0.3321,1358
21,2013,WState,236939,10671,10812,22825,16834,0.8208,1030
22,2013,RPI,194824,27375,19285,5379,32986,0.412,1366
23,2013,Kenyon,203535,28603,21910,1694,28132,0.3838,1328
24,2013,Clemson,217882,14839,12729,16801,12377,0.5787,1259
25,2014,Michigan,170976,22207,23234,28217,15787,0.3224,1380
26,2014,UNC,199120,13823,26718,17908,13243,0.285,1328
27,2014,Vanderbilt,221999,23480,80096,6818,17135,0.1309,1481
28,2014,Cornell,190415,26069,24604,14195,29240,0.1419,1422
29,2014,Berkeley,110635,18432,21934,27126,13707,0.1602,1382
30,2014,Alabama,100751,13373,10312,29851,20787,0.5105,1185
31,2014,KState,155399,10460,11551,19727,16384,0.9493,
32,2014,Towson,164076,6756,6449,18546,16363,0.5921,1082
33,2014,Montclair,185590,9054,9289,15676,21685,0.6683,975
34,2014,Wright,206604,10119,9585,12090,14965,,
35,2014,JamesM,232423,9327,8822,18697,18412,0.6573,1153
36,2014,Purdue,243780,15953,15821,29977,14797,0.5929,1213
37,2014,Sienna,195474,15218,10432,3085,24656,0.6586,1127
38,2014,Lehigh,213543,27066,21309,5034,31267,0.3427,1326
39,2014,Allegheny,210669,19623,13830,1968,25524,0.7177,1170
40,2014,GTech,139755,13501,14084,13996,10994,0.3338,1400
41,2014,SConn,130493,8927,12397,8133,14741,0.7154,932
42,2014,CaseW,201645,23564,30814,4807,26647,0.3831,1375
43,2014,Vassar,197133,27290,29685,2389,21002,0.2354,1403
44,2014,VTech,233921,12914,11792,24191,19691,0.7263,1215
45,2014,WMary,231624,18720,13943,6256,17194,0.3302,1373
46,2014,WState,236939,10671,10812,23585,16864,0.8208,1030
47,2014,RPI,194824,27375,19285,5557,33595,0.375,1372
48,2014,Kenyon,203535,28603,21910,1651,29203,0.2506,1332
49,2014,Clemson,217882,14839,12729,17083,16306,0.5152,1261
50,2015,Michigan,170976,22207,23234,28120,14521,0.2628,1384
51,2015,UNC,199120,13823,26718,17951,13744,0.3054,1343
52,2015,Vanderbilt,221999,23480,80096,6857,18144,0.1168,1498
53,2015,Cornell,190415,26069,24604,14226,29711,0.1507,1428
54,2015,Berkeley,110635,18432,21934,27496,13262,0.1688,1397
55,2015,Alabama,100751,13373,10312,31005,20575,0.5359,1181
56,2015,KState,155399,10460,11551,19443,17401,0.9492,
57,2015,Towson,164076,6756,6449,18806,17516,0.7338,1081
58,2015,Montclair,185590,9054,9289,16129,22377,0.7007,
59,2015,Wright,206604,10119,9585,12040,14101,0.9597,1034
60,2015,JamesM,232423,9327,8822,19019,19669,0.7257,1134
61,2015,Purdue,243780,15953,15821,30233,13516,0.5897,1231
62,2015,Sienna,195474,15218,10432,3062,24188,0.7602,
63,2015,Lehigh,213543,27066,21309,5054,33300,0.3041,1338
64,2015,Allegheny,210669,19623,13830,1896,24354,0.6834,
65,2015,GTech,139755,13501,14084,14463,11574,0.3217,1403
66,2015,SConn,130493,8927,12397,8106,15240,0.646,918
67,2015,CaseW,201645,23564,30814,5039,27949,0.3627,1398
68,2015,Vassar,197133,27290,29685,2414,21858,0.2573,1405
69,2015,VTech,233921,12914,11792,25327,20172,0.7341,1210
70,2015,WMary,231624,18720,13943,6260,18300,0.3446,1353
71,2015,WState,236939,10671,10812,24100,17878,0.7964,1039
72,2015,RPI,194824,27375,19285,5781,34841,0.4187,1368
73,2015,Kenyon,203535,28603,21910,1698,29516,0.2563,1335
74,2015,Clemson,217882,14839,12729,17740,15885,0.5127,1275
