school,year,GPA
Alabama,1991,2.59
Alabama,1992,2.61
Alabama,1993,2.6
Alabama,1994,2.66
Alabama,1995,2.66
Alabama,1996,2.66
Alabama,1997,2.65
Alabama,1998,2.68
Alabama,1999,2.64
Alabama,2000,2.68
Alabama,2001,2.79
Alabama,2002,2.87
Alabama,2003,2.98
Alabama,2004,3.05
Alabama,2005,2.89
Alabama,2006,2.9
Alabama,2010,3.01
Alabama,2011,3.01
Alabama,2012,3.06
Alabama,2013,3.07
Alabama,2014,3.07
Alabama,2015,3.13
Allegheny,2003,2.96
Allegheny,2004,3
Allegheny,2005,3.03
Allegheny,2008,3.08
Allegheny,2009,3.03
Allegheny,2010,3.06
Allegheny,2011,3.09
Allegheny,2012,3.08
Allegheny,2013,3.07
Allegheny,2014,3.04
CaseW,1999,3.24
CaseW,2000,3.2
CaseW,2001,3.23
CaseW,2003,3.23
CaseW,2004,3.25
CaseW,2005,3.25
CaseW,2006,3.24
CaseW,2007,3.29
CaseW,2008,3.25
CaseW,2010,3.29
CaseW,2011,3.29
CaseW,2013,3.31
CaseW,2014,3.34
CaseW,2015,3.36
Clemson,1920,2.52
Clemson,1921,2.57
Clemson,1922,2.58
Clemson,1923,2.5
Clemson,1924,2.6
Clemson,1925,2.5
Clemson,1927,1.89
Clemson,1929,1.99
Clemson,1930,2
Clemson,1931,2
Clemson,1932,1.96
Clemson,1933,2
Clemson,1934,1.99
Clemson,1935,1.92
Clemson,1936,1.91
Clemson,1937,1.96
Clemson,1938,1.92
Clemson,1939,1.94
Clemson,1940,1.89
Clemson,1941,1.92
Clemson,1946,2.1
Clemson,1947,2.12
Clemson,1948,2.01
Clemson,1949,1.98
Clemson,1950,2.03
Clemson,1951,1.96
Clemson,1952,1.99
Clemson,1953,2.07
Clemson,1954,2.17
Clemson,1960,2.02
Clemson,1962,2.09
Clemson,1964,2.18
Clemson,1965,2.2
Clemson,1966,2.28
Clemson,1967,2.3
Clemson,1968,2.31
Clemson,1969,2.37
Clemson,1970,2.41
Clemson,1971,2.45
Clemson,1975,2.73
Clemson,1984,2.76
Clemson,1989,2.76
Clemson,1991,2.82
Clemson,1992,2.85
Clemson,1994,2.87
Clemson,1996,2.91
Clemson,2000,2.95
Clemson,2001,2.99
Clemson,2002,3.05
Clemson,2003,3.03
Clemson,2008,3.14
WMary,1968,2.51
WMary,1969,2.6
WMary,1970,2.58
WMary,1971,2.68
WMary,1972,2.64
WMary,1973,2.69
WMary,1974,2.77
WMary,1975,2.8
WMary,1976,2.74
WMary,1977,2.77
WMary,1978,2.78
WMary,1979,2.78
WMary,1980,2.77
WMary,1981,2.77
WMary,1982,2.8
WMary,1983,2.75
WMary,1984,2.79
WMary,1985,2.8
WMary,1986,2.82
WMary,1987,2.86
WMary,1988,2.88
WMary,1989,2.96
WMary,1990,2.94
WMary,1991,2.98
WMary,1992,2.98
WMary,1997,3.06
WMary,1998,3.12
